NCBI Gene ID	Ensembl gene ID
100420505	ENSG00000226469
2515	ENSG00000104755
1587	ENSG00000197475
1596	ENSG00000260089
255926	ENSG00000196115
8755	ENSG00000271968
8756	ENSG00000069206
101929294	ENSG00000253535
101929315	ENSG00000253643
101	ENSG00000151651
8754	ENSG00000168615
102	ENSG00000137845
4185	ENSG00000073670
8038	ENSG00000148848
	
8751	ENSG00000143537
6868	ENSG00000151694
8749	ENSG00000168619
8728	ENSG00000135074
8748	ENSG00000134007
317760	ENSG00000259158
100533671	ENSG00000248574
644325	ENSG00000249162
8747	ENSG00000139985
145241	ENSG00000235812
53616	ENSG00000008277
8745	ENSG00000114948
646479	ENSG00000214607
10863	ENSG00000042980
11086	ENSG00000168594
11085	ENSG00000134249
203102	ENSG00000197140
80332	ENSG00000149451
27299	ENSG00000134028
9510	ENSG00000154734
9509	ENSG00000087116
9508	ENSG00000156140
9507	ENSG00000158859
11096	ENSG00000154736
11174	ENSG00000049192
11173	ENSG00000136378
390660	ENSG00000274376
	
400406	ENSG00000261143
642935	ENSG00000218052
100422416	ENSG00000274717
11095	ENSG00000134917
56999	ENSG00000163638
101929335	ENSG00000241158
100507098	ENSG00000241684
81794	ENSG00000142303
81792	ENSG00000151388
11093	ENSG00000160323
140766	ENSG00000138316
170689	ENSG00000166106
170690	ENSG00000145536
101929176	ENSG00000250579
170691	ENSG00000140470
170692	ENSG00000140873
171019	ENSG00000145808
103689846	ENSG00000249421
80070	ENSG00000173157
	
92949	ENSG00000178031
9719	ENSG00000197859
57188	ENSG00000156218
54507	ENSG00000143382
	ENSG00000203804
100289061	ENSG00000237781
339366	ENSG00000185761
11033	ENSG00000105963
55803	ENSG00000184060
103	ENSG00000160710
104	ENSG00000197381
105	ENSG00000185736
642394	ENSG00000205696
23536	ENSG00000065457
134637	ENSG00000189007
113179	ENSG00000213638
57143	ENSG00000063761
90956	ENSG00000133597
203054	ENSG00000173137
106	
	
	
107	ENSG00000164742
108	ENSG00000078295
109	ENSG00000138031
196883	ENSG00000129467
111	ENSG00000173175
112	ENSG00000174233
100506125	ENSG00000257660
113	ENSG00000121281
114	ENSG00000155897
115	ENSG00000162104
55811	ENSG00000143199
221442	ENSG00000161912
116	ENSG00000141433
117	ENSG00000078549
118	ENSG00000087274
119	ENSG00000075340
120	ENSG00000148700
100505933	ENSG00000203876
	
	
79747	ENSG00000118492
101928661	ENSG00000237468
84435	ENSG00000197177
	ENSG00000256925
