gene_symbol,ensembl_gene_id,is_oncogene,is_tumor_suppressor,is_cosmic_tier_1
ERCC4,ENSG00000175595,False,True,True
ETV1,ENSG00000006468,True,False,True
FAS,ENSG00000026103,False,True,True
FGF19,ENSG00000162344,True,False,False
FGF3,ENSG00000186895,True,False,False
FGF4,ENSG00000075388,True,False,False
FH,ENSG00000091483,False,True,True
FLT1,ENSG00000102755,True,False,False
FLT4,ENSG00000037280,True,False,True
FOXO1,ENSG00000150907,False,True,True
FOXP1,ENSG00000114861,True,True,True
GRIN2A,ENSG00000183454,False,True,True
GSK3B,ENSG00000082701,True,False,False
ID3,ENSG00000117318,False,True,False
IGF1R,ENSG00000140443,True,False,False
IKBKE,ENSG00000263528,True,False,False
IL7R,ENSG00000168685,True,False,True
INPP4B,ENSG00000109452,False,True,False
IRS2,ENSG00000185950,True,False,False
KLF4,ENSG00000136826,True,True,True
LMO1,ENSG00000166407,True,False,True
MALT1,ENSG00000172175,False,False,True
MAP3K13,ENSG00000073803,True,False,True
MCL1,ENSG00000143384,True,False,False
MEF2B,ENSG00000213999,True,False,False
MRE11,ENSG00000020922,False,True,False
MSH3,ENSG00000113318,False,True,False
MSI2,ENSG00000153944,True,False,True
NBN,ENSG00000104320,False,True,True
NCOR1,ENSG00000141027,False,True,True
NFKBIA,ENSG00000100906,False,True,False
NSD1,ENSG00000165671,True,True,True
NT5C2,ENSG00000076685,True,False,True
P2RY8,ENSG00000182162,False,True,True
PDCD1,ENSG00000188389,True,False,False
PIK3CB,ENSG00000051382,True,False,True
PMS2,ENSG00000122512,False,True,True
POLD1,ENSG00000062822,False,True,True
POLE,ENSG00000177084,False,True,True
POT1,ENSG00000128513,False,True,True
PPARG,ENSG00000132170,True,False,True
RAC1,ENSG00000136238,True,False,True
RAD50,ENSG00000113522,False,True,True
RAD51,ENSG00000051180,False,True,False
RAD51B,ENSG00000182185,False,True,True
RBM10,ENSG00000182872,False,True,True
REL,ENSG00000162924,True,False,True
RHOA,ENSG00000067560,True,False,True
RICTOR,ENSG00000164327,True,False,False
RPTOR,ENSG00000141564,True,False,False
SETBP1,ENSG00000152217,True,False,True
SOX9,ENSG00000125398,True,True,False
STAT5B,ENSG00000173757,True,False,True
SUZ12,ENSG00000178691,False,True,True
TBX3,ENSG00000135111,False,True,True
TCF3,ENSG00000071564,False,True,True
TERT,ENSG00000164362,True,False,True
TET1,ENSG00000138336,False,True,True
TOP1,ENSG00000198900,True,False,True
TP63,ENSG00000073282,True,True,True
TRAF7,ENSG00000131653,False,False,True
TSHR,ENSG00000165409,True,False,False
ZRSR2,ENSG00000169249,False,False,True
ACVR1,ENSG00000115170,True,False,True
ACVR1B,ENSG00000135503,False,True,True
ALOX12B,ENSG00000179477,True,True,False
AXIN2,ENSG00000168646,False,True,True
BCL11B,ENSG00000127152,False,True,True
BCL2L1,ENSG00000171552,False,False,False
BMPR1A,ENSG00000107779,False,True,True
CDKN1A,ENSG00000124762,False,True,False
CIITA,ENSG00000179583,False,True,True
CUL3,ENSG00000036257,False,True,False
CUX1,ENSG00000257923,False,True,True
DDX3X,ENSG00000215301,False,True,True
DICER1,ENSG00000100697,False,True,True
DIS3,ENSG00000083520,False,True,False
DNAJB1,ENSG00000132002,False,False,True
DNMT1,ENSG00000130816,True,False,False
DROSHA,ENSG00000113360,False,False,True
EPAS1,ENSG00000116016,False,False,True
EPHA5,ENSG00000145242,False,False,False
EPHA7,ENSG00000135333,True,True,False
ERCC2,ENSG00000104884,False,True,True
ERCC3,ENSG00000163161,False,True,True
ERCC5,ENSG00000134899,False,True,True
ERRFI1,ENSG00000116285,False,True,False
ETV4,ENSG00000175832,True,False,True
ETV5,ENSG00000244405,True,False,True
EWSR1,ENSG00000182944,True,False,True
FANCD2,ENSG00000144554,False,True,True
FANCG,ENSG00000221829,False,True,True
FAT1,ENSG00000083857,False,True,True
FBXO11,ENSG00000138081,False,True,True
FOXA1,ENSG00000129514,True,True,True
GLI1,ENSG00000111087,True,False,False
GNA13,ENSG00000120063,True,True,False
H1-2,ENSG00000187837,False,False,False
H3-3B,ENSG00000132475,False,False,True
HDAC1,ENSG00000116478,True,False,False
HLA-A,ENSG00000206503,False,True,True
IKZF3,ENSG00000161405,True,True,True
INHBA,ENSG00000122641,True,True,False
LATS1,ENSG00000131023,False,True,True
LATS2,ENSG00000150457,False,True,True
LYN,ENSG00000254087,True,False,False
MAF,ENSG00000178573,False,False,True
MAP3K14,ENSG00000006062,True,False,False
MAX,ENSG00000125952,False,True,True
MLLT1,ENSG00000130382,False,False,True
MST1R,ENSG00000164078,True,False,False
MYB,ENSG00000118513,True,False,True
MYOD1,ENSG00000129152,False,True,True
NCOR2,ENSG00000196498,False,False,True
NOTCH3,ENSG00000074181,True,True,False
NUP93,ENSG00000102900,False,False,False
PARP1,ENSG00000143799,False,True,False
PHOX2B,ENSG00000109132,False,True,True
PIK3C2G,ENSG00000139144,False,False,False
PIK3CG,ENSG00000105851,True,False,False
PIK3R2,ENSG00000105647,False,True,False
PLCG2,ENSG00000197943,True,False,False
PPM1D,ENSG00000170836,True,False,True
PPP6C,ENSG00000119414,False,True,True
PREX2,ENSG00000046889,False,False,True
PRKCI,ENSG00000163558,True,False,False
PRKN,ENSG00000185345,False,True,False
PTPRT,ENSG00000196090,False,True,True
RAD51C,ENSG00000108384,False,True,False
RAD51D,ENSG00000185379,False,True,False
RAD52,ENSG00000002016,False,False,False
RAD54L,ENSG00000085999,False,False,False
RECQL4,ENSG00000160957,False,True,True
RRAS2,ENSG00000133818,True,False,True
RUNX1T1,ENSG00000079102,True,False,True
SDHAF2,ENSG00000167985,False,True,True
SGK1,ENSG00000118515,True,False,False
SH2B3,ENSG00000111252,False,True,True
SMAD3,ENSG00000166949,False,True,True
STAT5A,ENSG00000126561,True,False,False
STAT6,ENSG00000166888,True,False,True
TBL1XR1,ENSG00000177565,True,False,True
TCF7L2,ENSG00000148737,False,True,True
TEK,ENSG00000120156,False,False,False
TMEM127,ENSG00000135956,False,True,True
TRAF2,ENSG00000127191,False,False,False
VEGFA,ENSG00000112715,True,False,False
WWTR1,ENSG00000018408,True,False,True
XRCC2,ENSG00000196584,False,True,False
ZFHX3,ENSG00000140836,False,True,True
ABL2,ENSG00000143322,True,False,True
ABRAXAS1,ENSG00000163322,False,True,False
AFF4,ENSG00000072364,True,False,True
AGO2,ENSG00000123908,False,False,False
ANKRD11,ENSG00000167522,False,True,False
ARHGAP26,ENSG00000145819,True,True,True
ARHGAP35,ENSG00000160007,True,True,True
ARHGEF12,ENSG00000196914,True,True,True
ARID5B,ENSG00000150347,False,True,False
ASXL2,ENSG00000143970,False,True,False
ATF1,ENSG00000123268,True,False,True
ATIC,ENSG00000138363,True,False,True
BABAM1,ENSG00000105393,False,False,False
BBC3,ENSG00000105327,False,True,False
BCL2L11,ENSG00000153094,False,True,False
BCL3,ENSG00000069399,True,False,True
BCL7A,ENSG00000110987,False,True,True
BCL9,ENSG00000116128,True,False,True
BTG2,ENSG00000159388,False,True,False
CARM1,ENSG00000142453,False,False,False
CBFA2T3,ENSG00000129993,False,True,True
CCNQ,ENSG00000262919,False,True,False
CD22,ENSG00000012124,False,False,False
CD276,ENSG00000103855,True,False,False
CD58,ENSG00000116815,False,True,False
CD70,ENSG00000125726,True,False,False
CD74,ENSG00000019582,True,False,True
CDC42,ENSG00000070831,True,False,False
CENPA,ENSG00000115163,False,False,False
CLTCL1,ENSG00000070371,False,False,True
CNTRL,ENSG00000119397,False,False,True
COL1A1,ENSG00000108821,True,False,True
COP1,ENSG00000143207,True,False,False
CSDE1,ENSG00000009307,False,False,False
CTLA4,ENSG00000163599,True,False,False
CTNNA1,ENSG00000044115,False,True,False
CYSLTR2,ENSG00000152207,True,False,False
DCUN1D1,ENSG00000043093,True,False,False
DDIT3,ENSG00000175197,False,False,True
DEK,ENSG00000124795,True,False,True
DNM2,ENSG00000079805,True,False,True
DNMT3B,ENSG00000088305,False,True,False
DTX1,ENSG00000135144,False,True,False
DUSP22,ENSG00000112679,False,True,False
DUSP4,ENSG00000120875,False,True,False
E2F3,ENSG00000112242,True,False,False
