miRNA precursor/locus ID (miRBase),miRNA ID (miRBase),miRNA precursor/locus ID (MirGeneDB),oncogene (O)/tumor-suppressor (TS)
hsa-mir-34a,miR-34a,Hsa-Mir-34-P1,
hsa-mir-34b,miR-34b,Hsa-Mir-34-P2a,
hsa-mir-34c,miR-34c,Hsa-Mir-34-P2b,
hsa-mir-373,miR-373,Hsa-Mir-430-P7,
hsa-mir-375,miR-375,Hsa-Mir-375,
hsa-mir-378a,miR-378a,Hsa-Mir-378,
hsa-mir-423,miR-423,Hsa-Mir-423,
hsa-mir-449a,miR-449a,Hsa-Mir-34-P3c,
hsa-mir-451a,miR-451a,Hsa-Mir-451,TS
hsa-mir-455,miR-455,Hsa-Mir-455,
hsa-mir-483,miR-483,Hsa-Mir-483,
hsa-mir-486-1,miR-486,Hsa-Mir-486,TS
hsa-mir-486-2,miR-486,,TS
hsa-mir-494,miR-494,Hsa-Mir-154-P18,
hsa-mir-497,miR-497,Hsa-Mir-15-P1d,TS
hsa-mir-625,miR-625,,
hsa-mir-7-1,miR-7,Hsa-Mir-7-P2,
hsa-mir-7-2,miR-7,Hsa-Mir-7-P1,
hsa-mir-7-3,miR-7,Hsa-Mir-7-P4,
hsa-mir-9-1,miR-9,Hsa-Mir-9-P3,
hsa-mir-9-2,miR-9,Hsa-Mir-9-P2,
hsa-mir-92a-1,miR-92a,Hsa-Mir-92-P1a,
hsa-mir-92a-2,miR-92a,Hsa-Mir-92-P1c,
hsa-mir-93,miR-93,Hsa-Mir-17-P4d,O
hsa-mir-9-3,miR-9,Hsa-Mir-9-P1,
hsa-mir-96,miR-96,Hsa-Mir-96-P1,O
hsa-mir-98,miR-98,Hsa-Let-7-P2b3,
hsa-mir-99a,miR-99a,Hsa-Mir-10-P2c,TS
hsa-mir-99b,miR-99b,Hsa-Mir-10-P2b,
hsa-let-7a-1,let-7a,Hsa-Let-7-P2a1,
hsa-let-7a-2,let-7a,Hsa-Let-7-P1d,
hsa-let-7a-3,let-7a,Hsa-Let-7-P2a2,
hsa-let-7b,let-7b,Hsa-Let-7-P2b2,TS
hsa-let-7c,let-7c,Hsa-Let-7-P1c,TS
hsa-let-7d,let-7d,Hsa-Let-7-P2c1,
hsa-let-7e,let-7e,Hsa-Let-7-P1b,TS
hsa-let-7f-1,let-7f,Hsa-Let-7-P2b1,
hsa-let-7f-2,let-7f,Hsa-Let-7-P2a3,
hsa-let-7g,let-7g,Hsa-Let-7-P2c3,
hsa-let-7i,let-7i,Hsa-Let-7-P2c2,
